date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,sentiment,count
02-03-21,235.199997,236.300003,229.199997,229.800003,228.251755,2802725,0.082806817,0.168443633,0.066539355,0.066737281,0.08343173,0.066551321,0.114895412,0.082415309,0.06759802,0.067340553,0.066718905,0.066521663,0,1
03-03-21,230.300003,230.899994,216.5,218,216.53125,4685300,0.06174926,0.060553176,0.127268947,0.076457497,0.077601399,0.061141567,0.07713904,0.135894527,0.061497353,0.091671408,0.106912412,0.062113414,-1,1
04-03-21,214.600006,221.699997,213.300003,217,215.537994,4495425,0.06174926,0.060553176,0.127268947,0.076457497,0.077601399,0.061141567,0.07713904,0.135894527,0.061497353,0.091671408,0.106912412,0.062113414,-1,0
05-03-21,214.300003,216.600006,208.199997,208.5,207.095261,5246915,0.074148968,0.067151214,0.077794282,0.106954559,0.07053023,0.083269836,0.101579499,0.079583907,0.089075113,0.079035552,0.08556394,0.085312899,-1,3
08-03-21,212,214.800003,204.899994,213.300003,211.86293,3743035,0.080788006,0.0638177,0.069868631,0.100333338,0.065811848,0.072032807,0.076571637,0.142991917,0.072776917,0.069109516,0.090059708,0.095837976,0.75,4
09-03-21,217.600006,229.800003,212.399994,227.5,225.967255,5249625,0.086546931,0.09098828,0.077840475,0.074262378,0.071574124,0.094261035,0.070650513,0.127974273,0.073701111,0.080055194,0.078351211,0.073794475,1.6,5
10-03-21,228.899994,231.899994,222.899994,229.899994,228.351074,3455605,0.093665626,0.062323579,0.112262791,0.082796065,0.096061256,0.087554662,0.094022175,0.08267346,0.083224238,0.063447544,0.078450528,0.063518078,2.666666667,3
11-03-21,229.699997,240.800003,227.699997,237.800003,236.197861,4650120,0.087418333,0.066710709,0.086939382,0.103349746,0.078337601,0.09374783,0.085932225,0.067915254,0.085463917,0.0965946,0.069395326,0.078195078,1.5,2
12-03-21,238.600006,238.800003,230.899994,234.600006,233.019424,2847620,0.079955383,0.067848263,0.098830154,0.069342742,0.100795178,0.10082753,0.090062987,0.079463809,0.079493569,0.085826513,0.078062101,0.06949177,0,2
15-03-21,240.399994,240.399994,232,233,231.430191,2928020,0.079955383,0.067848263,0.098830154,0.069342742,0.100795178,0.10082753,0.090062987,0.079463809,0.079493569,0.085826513,0.078062101,0.06949177,0,0
16-03-21,232.800003,235,228.800003,234.199997,232.622116,3689955,0.109493589,0.070341235,0.072071642,0.071874018,0.073160346,0.072354378,0.11086715,0.071917399,0.110817797,0.078189653,0.072363752,0.086549042,0,1
17-03-21,233.399994,233.699997,216.5,220.600006,219.113739,5635775,0.095956875,0.107898244,0.084690663,0.114205154,0.077028796,0.067743905,0.073690089,0.076663096,0.067978629,0.075706494,0.087382102,0.071055954,0,3
18-03-21,224,224.399994,215.600006,219.5,218.021149,4258490,0.08229282,0.064647993,0.06538169,0.1259163,0.065451103,0.106648195,0.073335961,0.065103099,0.091439125,0.089727413,0.104796957,0.065259343,-2,2
19-03-21,217.800003,225.300003,214.600006,223.100006,221.596909,5664980,0.08229282,0.064647993,0.06538169,0.1259163,0.065451103,0.106648195,0.073335961,0.065103099,0.091439125,0.089727413,0.104796957,0.065259343,-2,0
22-03-21,222,231.199997,219,227.100006,225.569946,3276660,0.08229282,0.064647993,0.06538169,0.1259163,0.065451103,0.106648195,0.073335961,0.065103099,0.091439125,0.089727413,0.104796957,0.065259343,-2,0
23-03-21,231.5,233.800003,225.300003,230.100006,228.549744,3539350,0.078799066,0.063236003,0.063529236,0.109938287,0.078920588,0.124605307,0.063479121,0.071509285,0.078897532,0.109499092,0.078919777,0.078666707,3,1
24-03-21,228.5,230.800003,224.100006,226.5,224.973984,3245945,0.069807266,0.154840601,0.0689362,0.06903958,0.102920447,0.102076101,0.086759807,0.06881134,0.069041067,0.069699297,0.069351726,0.068716566,1,1
25-03-21,224.199997,230.399994,222.100006,227.699997,226.165909,3735220,0.078655014,0.094424426,0.102632044,0.076938139,0.085219021,0.077556045,0.080743765,0.094889252,0.085622721,0.068957157,0.078475024,0.075887391,0.833333333,6
26-03-21,230.399994,238.800003,229.399994,237.399994,235.800552,4227820,0.084783373,0.063972742,0.081285687,0.097391553,0.065834891,0.104483516,0.075284636,0.072743753,0.089245344,0.082454544,0.098895669,0.083624292,1,2
29-03-21,239.300003,244.100006,234.5,243.399994,241.760117,3399525,0.084783373,0.063972742,0.081285687,0.097391553,0.065834891,0.104483516,0.075284636,0.072743753,0.089245344,0.082454544,0.098895669,0.083624292,1,0
30-03-21,245.899994,249.300003,244.100006,249,247.322403,3610070,0.084921969,0.0667261,0.085614554,0.10145952,0.068752509,0.083908329,0.101214135,0.067836316,0.084701609,0.101871877,0.084847498,0.068145585,4,1
31-03-21,250.100006,261.5,248.300003,260.399994,258.645599,5838735,0.088404842,0.091660548,0.074926285,0.093430277,0.081233806,0.079537082,0.080149047,0.074857475,0.086628222,0.096075656,0.075616178,0.077480582,1.615384615,13
06-04-21,273.799988,273.799988,249.800003,249.800003,248.11702,6429880,0.08429527,0.07474594,0.088724248,0.079228868,0.075501389,0.102092646,0.068563684,0.102967952,0.076535183,0.081936488,0.084139629,0.081268702,1.7,10
07-04-21,251.240005,253.160004,243.039993,245,243.34935,4034400,0.085407168,0.081343763,0.074183861,0.075065942,0.084491624,0.10811466,0.078267103,0.077944784,0.092304725,0.090403897,0.068684305,0.083788166,-0.1,10
08-04-21,245,252.240005,244.039993,250.839996,249.149994,2749380,0.090563908,0.126862762,0.082735523,0.08191415,0.067240411,0.089190659,0.074254402,0.065792849,0.081765591,0.098969804,0.066430195,0.074279746,0.5,2
