date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,sentiment,count
17-03-21,14200,14565,14160,14555,14208.07715,24852,0.07724493,0.077305555,0.078867273,0.092530305,0.07798098,0.139963016,0.099818121,0.085529424,0.086179199,0.105528121,0.079053076,0.666666667,3
18-03-21,14695,15105,14380,15030,14671.75586,29707,0.079102221,0.105988768,0.082824129,0.081100827,0.104814848,0.100135363,0.088208443,0.075608319,0.092637543,0.091217828,0.09836171,0.6,5
19-03-21,14800,15150,14725,15005,14647.35156,41516,0.078755395,0.078946949,0.105465378,0.121289868,0.080339274,0.079710327,0.091184776,0.081595393,0.082610754,0.109811359,0.090290527,1,2
22-03-21,14920,15265,14750,14825,14471.6416,28694,0.078049881,0.078266118,0.102679179,0.083266833,0.084716818,0.108935737,0.076913207,0.08972681,0.09859496,0.104818428,0.094032028,-2,5
23-03-21,14565,14605,13845,13845,13515,51204,0.090921091,0.080060531,0.082860709,0.109544293,0.094067691,0.103186991,0.080297355,0.08448595,0.088994811,0.105145946,0.080434634,0.111111111,9
24-03-21,13555,13705,13355,13630,13630,39518,0.087826414,0.087471521,0.103316952,0.090923602,0.08719361,0.08661001,0.086464206,0.083830522,0.081481879,0.122726632,0.082154653,0.555555556,9
25-03-21,13640,13765,13180,13705,13705,33068,0.086008793,0.103523349,0.094873587,0.086900612,0.095650161,0.102154833,0.087790043,0.092398213,0.08478365,0.082338769,0.083577989,0,6
26-03-21,13985,14515,13925,14495,14495,38641,0.082182381,0.09857211,0.095692026,0.104753821,0.087404745,0.086098236,0.095195761,0.088721078,0.088783423,0.089836022,0.082760397,0.7,10
29-03-21,14420,14420,13980,14250,14250,28001,0.113000245,0.105799388,0.096793805,0.081924098,0.082293802,0.083918502,0.093108783,0.089465028,0.083595062,0.079963382,0.090137907,0,8
30-03-21,14365,14675,14310,14675,14675,20796,0.099903761,0.099016798,0.100663555,0.086434015,0.087541417,0.088092074,0.091743862,0.08352204,0.087671866,0.086674833,0.088735778,1.421052632,19
31-03-21,14675,15025,14585,14735,14735,31752,0.093507239,0.10187296,0.087758481,0.084789436,0.102269405,0.082287289,0.092691213,0.086490467,0.081545322,0.08946733,0.097320858,2.5,6
06-04-21,14675,14970,14520,14775,14775,29699,0.093507239,0.10187296,0.087758481,0.084789436,0.102269405,0.082287289,0.092691213,0.086490467,0.081545322,0.08946733,0.097320858,2.5,0
07-04-21,15000,15315,14895,15070,15070,39146,0.096736238,0.116249184,0.087847223,0.080575369,0.101782044,0.088809646,0.087658547,0.088032818,0.084864191,0.090434334,0.077010406,0.857142857,7
08-04-21,15200,15475,15065,15095,15095,38542,0.099942874,0.098222815,0.093049831,0.09862408,0.080823064,0.078172437,0.085395538,0.101017656,0.085093869,0.093075968,0.086581868,-0.333333333,6
09-04-21,15210,15375,15100,15210,15210,19749,0.104841161,0.162372441,0.087822855,0.079879029,0.088512859,0.102263366,0.072087868,0.079384836,0.071779309,0.079372034,0.071684241,-0.5,2
12-04-21,15210,15225,14900,14900,14900,16744,0.076420227,0.07976772,0.0851603,0.098569958,0.080061356,0.086149751,0.098473977,0.103687114,0.130342359,0.077652336,0.083714903,1,4
13-04-21,14910,15135,14910,15080,15080,21608,0.080639793,0.092401596,0.091010468,0.099111781,0.081180435,0.089982017,0.114709818,0.078897887,0.08489767,0.103023772,0.084144762,0,4
14-04-21,15045,15045,14480,14655,14655,36256,0.090606771,0.102033993,0.102110649,0.082699044,0.089307152,0.106110877,0.094696365,0.082104358,0.086226414,0.086377939,0.077726439,1.875,8
15-04-21,14700,14945,14670,14810,14810,17992,0.095230408,0.127178667,0.074119719,0.082646846,0.095942365,0.087000632,0.121275628,0.080555904,0.072875873,0.072803185,0.090370773,0.5,2
16-04-21,14865,15340,14865,15300,15300,35021,0.099924253,0.107802325,0.086165484,0.083120068,0.078948207,0.100660298,0.10432256,0.085566628,0.090428482,0.079250999,0.083810697,1.5,8
19-04-21,15250,15370,15165,15220,15220,21531,0.077932898,0.074068224,0.084841053,0.109005712,0.094741874,0.08828493,0.10315614,0.099979917,0.105811453,0.084225594,0.077952205,0.5,4
20-04-21,15200,15265,14880,14895,14895,18394,0.06916744,0.069213624,0.100289833,0.085689584,0.084748259,0.069287991,0.116746382,0.133356207,0.116485393,0.085067184,0.069948104,1,1
21-04-21,14890,15105,14815,15105,15105,21452,0.115188265,0.12342941,0.119037811,0.069730812,0.11377216,0.078679921,0.080020072,0.0846823,0.070045161,0.071831736,0.073582353,0.8,5
22-04-21,15145,15250,14780,14865,14865,24745,0.103887428,0.098051241,0.085692356,0.088337089,0.101772149,0.104718249,0.096805295,0.075919248,0.076057938,0.079777897,0.08898111,1.4,5
23-04-21,14840,15260,14840,15170,15170,29258,0.097216157,0.104364349,0.086203721,0.083727701,0.098932421,0.096747473,0.096875622,0.096927877,0.085009541,0.07551262,0.078482518,2.2,5
26-04-21,15250,15640,15210,15500,15500,26835,0.115540939,0.165804178,0.079160786,0.078478272,0.08448724,0.068273737,0.089045902,0.083903843,0.068424325,0.078396684,0.088484094,0,3
27-04-21,16275,16300,15340,15350,15350,49863,0.099421337,0.125888393,0.079148878,0.086121088,0.090327853,0.096945108,0.090531225,0.095237482,0.076380234,0.077699274,0.082299129,0.923076923,13
