date,open,high,low,close,adj close,volume,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,sentiment,count
15-02-21,463.950012,464.149994,459.850006,463.25,456.880249,1522280,0.091458463,0.095040828,0.108772727,0.122173688,0.089834883,0.145196019,0.125608103,0.124632281,0.097283008,2,1
16-02-21,463.5,463.549988,457,459.100006,452.787323,1554179,0.111776925,0.108310746,0.098584703,0.131117315,0.129538315,0.107188377,0.107879967,0.10544226,0.100161392,0,3
17-02-21,459.100006,466.100006,454.799988,466.100006,459.691071,2301215,0.117329472,0.089670566,0.101424901,0.135325869,0.106912882,0.110191222,0.119458896,0.104369799,0.115316394,0.5,4
18-02-21,466,466.549988,458.200012,460,453.674927,1863469,0.143682542,0.115011729,0.098132107,0.099692668,0.090248206,0.120005916,0.131706223,0.092401939,0.10911867,-0.166666667,6
19-02-21,460,462.25,450.75,455.25,448.990265,2764433,0.144617802,0.108005159,0.098960492,0.096398725,0.095432622,0.133644457,0.109255156,0.105291935,0.108393651,0.6,10
22-02-21,455.100006,455.549988,446.600006,446.799988,440.656433,1781700,0.124883223,0.106581357,0.109542134,0.099258696,0.098657479,0.117071918,0.125226981,0.107093227,0.111684987,-0.666666667,3
23-02-21,450,450,436,437.200012,431.188446,2387217,0.111299226,0.108588337,0.137436547,0.102113617,0.10161303,0.093253648,0.093318118,0.135786042,0.116591434,1.142857143,7
24-02-21,435,443.700012,433.149994,441.450012,435.380005,1946258,0.106609214,0.11877735,0.123030217,0.110710047,0.117149067,0.091719286,0.101780488,0.133496741,0.09672759,0.75,8
25-02-21,441.549988,444.950012,441,442.950012,436.859375,1708769,0.137356831,0.102717379,0.126096983,0.10936812,0.100870023,0.095867045,0.101482981,0.113072968,0.113167671,0.333333333,3
26-02-21,443,449.299988,436.399994,437.950012,431.928131,2747104,0.111468571,0.107223319,0.136452846,0.097312444,0.117323839,0.094194372,0.111652654,0.122287773,0.102084181,-0.5,4
01-03-21,441,450.5,439.649994,448.549988,442.382355,2135087,0.10234253,0.095161778,0.119946129,0.130543169,0.109648877,0.086800151,0.125858041,0.133905595,0.095793729,1,2
02-03-21,450.950012,454.25,447.100006,448.299988,442.135803,1789920,0.094842602,0.106774686,0.163547709,0.106905953,0.108386731,0.091379052,0.127420593,0.108229955,0.092512718,0,1
03-03-21,448.299988,448.950012,437.549988,438.899994,432.865051,1929066,0.101604567,0.134448361,0.086810831,0.085618202,0.144249332,0.086476675,0.118614336,0.13646104,0.105716655,0,1
04-03-21,441.25,441.799988,431.549988,434.75,428.772125,2664198,0.108205774,0.101417253,0.117601526,0.135403218,0.11864054,0.090038683,0.101776561,0.122334288,0.104582157,0,3
05-03-21,430,432.549988,427.100006,427.100006,421.227325,2598589,0.117456764,0.110495061,0.109591637,0.106426918,0.119561183,0.095714133,0.10706325,0.123887671,0.109803382,0,5
08-03-21,434.75,437.049988,427.700012,435.75,429.758392,1570124,0.117456764,0.110495061,0.109591637,0.106426918,0.119561183,0.095714133,0.10706325,0.123887671,0.109803382,0,0
09-03-21,433.850006,445.600006,432,442.350006,436.267639,1686695,0.123920237,0.09882573,0.126815737,0.111517808,0.116146866,0.08940896,0.105540906,0.120538516,0.10728524,1,2
10-03-21,441.799988,451.600006,440.5,449.25,443.072754,1687194,0.102449248,0.086823899,0.102531526,0.148865821,0.21183609,0.086820624,0.086821384,0.086832973,0.087018435,-1,1
11-03-21,446.299988,450.350006,444.549988,445.850006,439.719513,1698293,0.108412264,0.111497583,0.10111471,0.120506686,0.14480463,0.094187877,0.096823147,0.104527786,0.118125317,2,3
12-03-21,444.950012,446.25,439.700012,439.700012,433.654083,1693806,0.128323577,0.108440808,0.118477701,0.115130054,0.112708682,0.094154977,0.10379855,0.115819084,0.103146568,1,6
15-03-21,441.799988,447.350006,441.049988,446.649994,440.508484,1663197,0.105370891,0.113770233,0.107777383,0.102930258,0.111546601,0.107861903,0.115796815,0.126416971,0.108528944,0,6
16-03-21,448,454.600006,446.649994,453.149994,446.919128,1974566,0.096393503,0.14696495,0.090810167,0.114408468,0.127822962,0.105487059,0.112703626,0.105471979,0.099937287,1.5,2
17-03-21,453.049988,453.049988,443.899994,446,439.867432,1801336,0.096393503,0.14696495,0.090810167,0.114408468,0.127822962,0.105487059,0.112703626,0.105471979,0.099937287,1.5,0
18-03-21,446.149994,447.100006,439.950012,444.649994,438.536011,2702161,0.115616676,0.10390547,0.106937727,0.116167969,0.129410281,0.092872091,0.095815622,0.130108687,0.109165476,1,6
19-03-21,442.549988,446,439.299988,440.700012,434.64032,3945059,0.115995334,0.111763109,0.120369216,0.126716254,0.121698981,0.091681191,0.106961161,0.102381686,0.102433068,-0.8,5
22-03-21,440,445.549988,439.149994,443.200012,437.105957,1872846,0.121456733,0.117754447,0.101613913,0.114066001,0.116688971,0.100131566,0.103289718,0.114604168,0.110394482,1.75,4
23-03-21,440.700012,441.75,430.200012,431.75,425.813385,3370219,0.092236382,0.101860013,0.107260053,0.158857477,0.095947971,0.118533721,0.107608714,0.117204328,0.100491341,-0.75,8
24-03-21,427.5,431.649994,422.100006,422.100006,416.296082,3718267,0.11023762,0.098662001,0.105239075,0.112232727,0.109544424,0.136815753,0.118461162,0.104699383,0.104107856,-0.75,4
25-03-21,421.149994,426.399994,421.049988,425.450012,419.600006,3044285,0.109786275,0.121292691,0.1119558,0.096431785,0.116988007,0.121904357,0.113522813,0.108257172,0.0998611,0,3
26-03-21,421.049988,425.649994,420.149994,423.549988,423.549988,2353516,0.104358019,0.110077085,0.124182336,0.120108646,0.135140087,0.098977739,0.09717703,0.104174134,0.105804924,1.166666667,6
29-03-21,428.75,432.149994,425.75,431.549988,431.549988,2082385,0.102430361,0.120396598,0.121063373,0.111116743,0.119790894,0.103578768,0.103330574,0.122225966,0.096066723,0.5,4
30-03-21,433.049988,433.049988,429.450012,430.700012,430.700012,1605912,0.102430361,0.120396598,0.121063373,0.111116743,0.119790894,0.103578768,0.103330574,0.122225966,0.096066723,0.5,0
31-03-21,431,437.850006,429.75,429.75,429.75,2794636,0.102430361,0.120396598,0.121063373,0.111116743,0.119790894,0.103578768,0.103330574,0.122225966,0.096066723,0.5,0
06-04-21,422.350006,430.5,422,429.600006,429.600006,2638540,0.12432292,0.102471985,0.124028829,0.099579567,0.112650401,0.088930575,0.116537225,0.124294416,0.107184081,1.25,4
07-04-21,429.450012,429.450012,425.299988,426.299988,426.299988,2109907,0.12432292,0.102471985,0.124028829,0.099579567,0.112650401,0.088930575,0.116537225,0.124294416,0.107184081,1.25,0
08-04-21,425.100006,434.350006,425.100006,433,433,1903055,0.110547075,0.108860794,0.107348302,0.112219054,0.128037844,0.090607125,0.114196732,0.132233059,0.095950015,1.333333333,3
09-04-21,433,439.600006,430.850006,438.100006,438.100006,1981790,0.125587106,0.103341575,0.113857453,0.104643766,0.119269715,0.097908767,0.119198601,0.112108984,0.104084032,0.5,4
12-04-21,439.149994,439.299988,433.100006,434.399994,434.399994,1276858,0.108271778,0.142837826,0.111295304,0.126839087,0.124322224,0.090296853,0.090345672,0.108922227,0.096869029,3,1
13-04-21,437.450012,441.549988,435.100006,440.450012,440.450012,1996604,0.125545314,0.099586382,0.119240567,0.106550466,0.09785505,0.099714046,0.106385894,0.127237293,0.117884987,0,2
14-04-21,442.5,445.899994,438.700012,438.700012,438.700012,2145447,0.1043321,0.10011604,0.136779763,0.090907832,0.155370541,0.100878488,0.107108224,0.096359766,0.108147245,2.5,2
15-04-21,438.100006,446.899994,435.5,446.5,446.5,2182933,0.088145547,0.150861166,0.086690306,0.117121033,0.104708171,0.102495751,0.102209987,0.096762023,0.151006017,2,1
16-04-21,446.350006,449.25,444.399994,449.25,449.25,2183947,0.136588567,0.144066429,0.10449351,0.089508991,0.08762417,0.087296663,0.10541532,0.123951362,0.12105499,1,1
19-04-21,450,452.200012,447.450012,449.649994,449.649994,1784662,0.113639893,0.124072201,0.109613256,0.09440685,0.145336374,0.094474957,0.11190482,0.09452153,0.112030119,-1,1
20-04-21,449.649994,453,448.649994,450,450,2049018,0.116085824,0.122926862,0.095003823,0.103755035,0.112602888,0.089904979,0.129955587,0.099306762,0.130458241,-0.5,2
21-04-21,453.799988,459.25,453.75,458.049988,458.049988,2410744,0.091810533,0.121958102,0.098842958,0.108986895,0.097322695,0.125335181,0.132609138,0.098217414,0.124917084,0.5,6
22-04-21,458,463.5,457.299988,459.25,459.25,2102734,0.126061978,0.114926336,0.104483156,0.109039746,0.104006358,0.126119452,0.109233238,0.096644808,0.109484929,0.666666667,3
23-04-21,459,461.299988,454.5,454.899994,454.899994,1475646,0.111757863,0.112416229,0.107005854,0.124105081,0.110423086,0.103151238,0.110987942,0.117125814,0.103026894,0.166666667,6
26-04-21,456.25,458.100006,452.049988,454.200012,454.200012,1428687,0.106842738,0.144976993,0.107100832,0.106601134,0.106572011,0.106888953,0.107035303,0.106671004,0.107311033,0,1
27-04-21,456,463.25,450.549988,452.549988,452.549988,1996229,0.106842738,0.144976993,0.107100832,0.106601134,0.106572011,0.106888953,0.107035303,0.106671004,0.107311033,0,1
28-04-21,452.200012,457.200012,449.100006,455.399994,455.399994,1609694,0.106842738,0.144976993,0.107100832,0.106601134,0.106572011,0.106888953,0.107035303,0.106671004,0.107311033,0,1
29-04-21,458,458,452.5,453.049988,453.049988,1538913,0.100596763,0.107070079,0.141173732,0.110644867,0.121754055,0.096363706,0.10325055,0.117917582,0.101228666,0.4,5
03-05-21,461.899994,465.149994,456.600006,463.399994,463.399994,3055483,0.114175387,0.108157106,0.103526154,0.108213775,0.107065028,0.138752459,0.106850995,0.08992482,0.123334276,-0.75,4
04-05-21,464.200012,467.049988,456.100006,457.649994,457.649994,2005362,0.089974335,0.109081857,0.101317449,0.098986921,0.159635817,0.138007406,0.106293897,0.089727113,0.106975205,-0.5,2
05-05-21,469.549988,472.799988,456.200012,459.25,459.25,3142558,0.120211519,0.113637504,0.102726294,0.103637363,0.121419391,0.109080684,0.123766087,0.104308326,0.101212831,1.285714286,21
06-05-21,457.950012,462.899994,454.049988,455.600006,455.600006,1851882,0.102131178,0.10758873,0.093862134,0.107898987,0.133508949,0.115834555,0.110884492,0.117619563,0.110671414,1,5
07-05-21,457.149994,464.399994,455.950012,463.600006,463.600006,1574583,0.124442248,0.096941951,0.103557043,0.128372484,0.131663331,0.094587248,0.115785615,0.106046824,0.098603255,-0.571428571,7
10-05-21,462.149994,469.25,460,467.75,467.75,1771368,0.139785803,0.09573343,0.101022372,0.115034813,0.114928183,0.091393571,0.104482927,0.12032814,0.117290761,-0.75,4
11-05-21,468,469.299988,461.200012,465.25,465.25,2150784,0.102827177,0.088395524,0.19371078,0.086017485,0.107551187,0.08692359,0.120071805,0.105007084,0.109495367,-4,1
12-05-21,470,479,468.299988,478.850006,478.850006,2473209,0.113252112,0.114887151,0.114130103,0.104847108,0.10666051,0.099802056,0.10353057,0.127270781,0.115619609,0.2,5
17-05-21,485.899994,493.799988,482.600006,493.450012,493.450012,3800378,0.111848011,0.1068005,0.11123952,0.106869437,0.119156552,0.101012162,0.114039149,0.113531886,0.115502783,0.166666667,6
18-05-21,492,492.899994,483.100006,485.649994,485.649994,2241712,0.142388158,0.105064982,0.100592126,0.099864509,0.137535969,0.097709551,0.101853244,0.115297871,0.09969359,1,4
19-05-21,482.25,488.5,481.450012,484.399994,484.399994,1532719,0.119588509,0.104999741,0.104645223,0.098994394,0.163229442,0.091937495,0.102822287,0.117400097,0.096382812,1.5,2
20-05-21,484.399994,493.149994,484.399994,492,492,1710320,0.114948987,0.093526472,0.115549738,0.138121397,0.133800212,0.110118401,0.092376004,0.103010562,0.098548226,0,3
21-05-21,491.799988,497.850006,490.399994,496.799988,496.799988,2202616,0.11899059,0.097986604,0.114166036,0.097387079,0.151099398,0.090352672,0.108058241,0.119136227,0.102823154,-1,2
25-05-21,493.649994,496.600006,489.299988,489.299988,489.299988,2195868,0.104108825,0.105416087,0.157186755,0.094703499,0.100800942,0.088683157,0.141046338,0.091684118,0.116370279,0,1
26-05-21,486.299988,492.149994,486.100006,488.25,488.25,1946442,0.110868781,0.133027962,0.128001758,0.106926407,0.105049274,0.088181581,0.129646074,0.104591851,0.093706311,-0.25,4
27-05-21,487.149994,487.899994,481.100006,481.100006,481.100006,4369519,0.095351918,0.131646901,0.114842493,0.088829354,0.12305733,0.092399607,0.148754794,0.103871843,0.101245759,0,2
28-05-21,476.75,485.700012,475.450012,482.649994,482.649994,2134416,0.130450965,0.097333226,0.117567402,0.115568733,0.101725048,0.103593747,0.112279883,0.112807831,0.108673165,0.75,12
31-05-21,483,486.200012,481.299988,481.299988,481.299988,1443764,0.09564467,0.099460315,0.103166277,0.101371843,0.113777695,0.158754726,0.128839773,0.097666401,0.101318298,-0.75,4
01-06-21,483.25,488.299988,480.200012,481.549988,481.549988,1953160,0.11820396,0.095254737,0.128803619,0.110317484,0.093869891,0.099778689,0.105524143,0.128396084,0.119851393,1.333333333,3
